experiment,tau,beta,rows_demoted,precision,aurc,delta_aurc,P_better_group_bootstrap,decile2_6_mass_pct
bounded writer-graph demotion,0.3,0.05,15,0.20,0.0364,-0.0000,0.618,0
bounded writer-graph demotion,0.3,0.10,15,0.20,0.0364,-0.0000,0.512,0
bounded writer-graph demotion,0.3,0.20,15,0.20,0.0365,+0.0001,0.362,-4
bounded writer-graph demotion,0.3,0.40,15,0.20,0.0373,+0.0009,0.091,-8
bounded writer-graph demotion,0.5,0.05,19,0.21,0.0364,-0.0001,0.819,1
bounded writer-graph demotion,0.5,0.10,19,0.21,0.0364,-0.0001,0.722,1
bounded writer-graph demotion,0.5,0.20,19,0.21,0.0364,-0.0001,0.569,-3
bounded writer-graph demotion,0.5,0.40,19,0.21,0.0373,+0.0009,0.147,-8
bounded writer-graph demotion,0.7,0.05,41,0.12,0.0362,-0.0002,0.607,2
bounded writer-graph demotion,0.7,0.10,41,0.12,0.0359,-0.0006,0.667,4
bounded writer-graph demotion,0.7,0.20,41,0.12,0.0360,-0.0005,0.553,-1
bounded writer-graph demotion,0.7,0.40,41,0.12,0.0372,+0.0008,0.347,-16
